Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5521","Aliments pour animaux","2518","Sorgho et produits","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5521","Aliments pour animaux","2520","Céréales, Autres","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5142","Nourriture","2520","Céréales, Autres","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5521","Aliments pour animaux","2511","Blé et produits","2017","2017","Milliers de tonnes","626","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5142","Nourriture","2511","Blé et produits","2017","2017","Milliers de tonnes","7115","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5521","Aliments pour animaux","2807","Riz et produits","2017","2017","Milliers de tonnes","2","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5142","Nourriture","2807","Riz et produits","2017","2017","Milliers de tonnes","161","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5521","Aliments pour animaux","2513","Orge et produits","2017","2017","Milliers de tonnes","940","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5142","Nourriture","2513","Orge et produits","2017","2017","Milliers de tonnes","431","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5521","Aliments pour animaux","2514","Maïs et produits","2017","2017","Milliers de tonnes","3209","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5142","Nourriture","2514","Maïs et produits","2017","2017","Milliers de tonnes","645","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5142","Nourriture","2515","Seigle et produits","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5521","Aliments pour animaux","2516","Avoine","2017","2017","Milliers de tonnes","63","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5142","Nourriture","2516","Avoine","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5521","Aliments pour animaux","2517","Millet et produits","2017","2017","Milliers de tonnes","1","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5521","Aliments pour animaux","2518","Sorgho et produits","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5142","Nourriture","2518","Sorgho et produits","2017","2017","Milliers de tonnes","5","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5521","Aliments pour animaux","2520","Céréales, Autres","2017","2017","Milliers de tonnes","4","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5142","Nourriture","2520","Céréales, Autres","2017","2017","Milliers de tonnes","2","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5521","Aliments pour animaux","2511","Blé et produits","2017","2017","Milliers de tonnes","8987","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5142","Nourriture","2511","Blé et produits","2017","2017","Milliers de tonnes","7251","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5521","Aliments pour animaux","2807","Riz et produits","2017","2017","Milliers de tonnes","14","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5142","Nourriture","2807","Riz et produits","2017","2017","Milliers de tonnes","389","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5521","Aliments pour animaux","2513","Orge et produits","2017","2017","Milliers de tonnes","6560","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5142","Nourriture","2513","Orge et produits","2017","2017","Milliers de tonnes","20","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5521","Aliments pour animaux","2514","Maïs et produits","2017","2017","Milliers de tonnes","4855","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5142","Nourriture","2514","Maïs et produits","2017","2017","Milliers de tonnes","901","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5521","Aliments pour animaux","2515","Seigle et produits","2017","2017","Milliers de tonnes","2092","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5142","Nourriture","2515","Seigle et produits","2017","2017","Milliers de tonnes","769","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5521","Aliments pour animaux","2516","Avoine","2017","2017","Milliers de tonnes","482","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5142","Nourriture","2516","Avoine","2017","2017","Milliers de tonnes","101","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5521","Aliments pour animaux","2517","Millet et produits","2017","2017","Milliers de tonnes","8","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5142","Nourriture","2517","Millet et produits","2017","2017","Milliers de tonnes","10","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5521","Aliments pour animaux","2518","Sorgho et produits","2017","2017","Milliers de tonnes","6","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5521","Aliments pour animaux","2520","Céréales, Autres","2017","2017","Milliers de tonnes","2304","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5142","Nourriture","2520","Céréales, Autres","2017","2017","Milliers de tonnes","10","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5521","Aliments pour animaux","2511","Blé et produits","2017","2017","Milliers de tonnes","5","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5142","Nourriture","2511","Blé et produits","2017","2017","Milliers de tonnes","1062","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5521","Aliments pour animaux","2807","Riz et produits","2017","2017","Milliers de tonnes","90","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5142","Nourriture","2807","Riz et produits","2017","2017","Milliers de tonnes","601","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5142","Nourriture","2513","Orge et produits","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5521","Aliments pour animaux","2514","Maïs et produits","2017","2017","Milliers de tonnes","534","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5142","Nourriture","2514","Maïs et produits","2017","2017","Milliers de tonnes","1323","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5521","Aliments pour animaux","2515","Seigle et produits","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5142","Nourriture","2515","Seigle et produits","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5521","Aliments pour animaux","2516","Avoine","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5142","Nourriture","2516","Avoine","2017","2017","Milliers de tonnes","1","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5521","Aliments pour animaux","2517","Millet et produits","2017","2017","Milliers de tonnes","4","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5142","Nourriture","2517","Millet et produits","2017","2017","Milliers de tonnes","53","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5521","Aliments pour animaux","2518","Sorgho et produits","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5142","Nourriture","2518","Sorgho et produits","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5521","Aliments pour animaux","2520","Céréales, Autres","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5142","Nourriture","2520","Céréales, Autres","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5521","Aliments pour animaux","2511","Blé et produits","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5142","Nourriture","2511","Blé et produits","2017","2017","Milliers de tonnes","6","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5142","Nourriture","2807","Riz et produits","2017","2017","Milliers de tonnes","1","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5142","Nourriture","2513","Orge et produits","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5521","Aliments pour animaux","2514","Maïs et produits","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5142","Nourriture","2514","Maïs et produits","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5142","Nourriture","2515","Seigle et produits","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5521","Aliments pour animaux","2516","Avoine","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5142","Nourriture","2516","Avoine","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5142","Nourriture","2517","Millet et produits","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5142","Nourriture","2518","Sorgho et produits","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5521","Aliments pour animaux","2520","Céréales, Autres","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5142","Nourriture","2520","Céréales, Autres","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5521","Aliments pour animaux","2511","Blé et produits","2017","2017","Milliers de tonnes","221","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5142","Nourriture","2511","Blé et produits","2017","2017","Milliers de tonnes","3306","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5521","Aliments pour animaux","2807","Riz et produits","2017","2017","Milliers de tonnes","9","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5142","Nourriture","2807","Riz et produits","2017","2017","Milliers de tonnes","1740","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5521","Aliments pour animaux","2513","Orge et produits","2017","2017","Milliers de tonnes","8916","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5142","Nourriture","2513","Orge et produits","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5521","Aliments pour animaux","2514","Maïs et produits","2017","2017","Milliers de tonnes","2118","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5142","Nourriture","2514","Maïs et produits","2017","2017","Milliers de tonnes","966","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5521","Aliments pour animaux","2516","Avoine","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5142","Nourriture","2516","Avoine","2017","2017","Milliers de tonnes","17","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5521","Aliments pour animaux","2517","Millet et produits","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5142","Nourriture","2517","Millet et produits","2017","2017","Milliers de tonnes","23","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5521","Aliments pour animaux","2518","Sorgho et produits","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5142","Nourriture","2518","Sorgho et produits","2017","2017","Milliers de tonnes","138","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5521","Aliments pour animaux","2520","Céréales, Autres","2017","2017","Milliers de tonnes","3","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5142","Nourriture","2520","Céréales, Autres","2017","2017","Milliers de tonnes","51","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5521","Aliments pour animaux","2511","Blé et produits","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5142","Nourriture","2511","Blé et produits","2017","2017","Milliers de tonnes","4470","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5521","Aliments pour animaux","2807","Riz et produits","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5142","Nourriture","2807","Riz et produits","2017","2017","Milliers de tonnes","550","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5521","Aliments pour animaux","2513","Orge et produits","2017","2017","Milliers de tonnes","29","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5521","Aliments pour animaux","2514","Maïs et produits","2017","2017","Milliers de tonnes","18040","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5142","Nourriture","2514","Maïs et produits","2017","2017","Milliers de tonnes","516","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5521","Aliments pour animaux","2515","Seigle et produits","2017","2017","Milliers de tonnes","52","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5521","Aliments pour animaux","2516","Avoine","2017","2017","Milliers de tonnes","470","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5142","Nourriture","2516","Avoine","2017","2017","Milliers de tonnes","56","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5521","Aliments pour animaux","2517","Millet et produits","2017","2017","Milliers de tonnes","4","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5521","Aliments pour animaux","2518","Sorgho et produits","2017","2017","Milliers de tonnes","1935","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5521","Aliments pour animaux","2520","Céréales, Autres","2017","2017","Milliers de tonnes","12","Im","Données de la FAO basées sur une méthodologie d'imputation"
